first	second	third	fourth	fifth	final
96	11	78	18	74	58
75	9	79	14	15	30
106	69	2	81	67	11
13	66	98	55	32	86
28	81	14	70	52	10
10	13	6	30	20	30
47	51	43	66	6	60
27	105	18	18	91	118
79	60	26	64	60	54
45	27	35	29	72	4
97	15	60	99	58	8
69	37	90	29	10	6
63	10	30	53	17	14
25	66	41	2	20	22
45	67	27	44	13	13
90	55	88	108	85	37
8	14	39	10	25	80
12	24	53	9	16	37
10	35	66	64	2	32
6	78	66	46	4	41
33	90	113	90	28	55
48	136	2	103	18	33
12	7	5	4	36	21
36	41	4	28	15	18
2	51	24	22	29	65
36	2	12	13	55	15
31	37	80	10	61	42
39	121	29	62	55	60
95	74	166	38	37	27
21	58	37	35	31	2
2	40	73	32	87	10
38	9	5	12	74	2
23	106	61	96	27	2
2	55	9	87	26	33
14	6	14	22	25	5
107	41	81	54	131	17
98	10	53	5	68	35
68	73	24	27	30	83
7	57	14	4	76	67
6	60	1	66	35	75
37	31	10	51	91	106
47	58	21	105	27	4
13	23	61	65	74	59
59	21	42	6	22	33
